iso,H2,H1,AX,L1,L2,CDD,L2(CDD),AX(CDD)
Ar40,5.895593843,5.895593843,6.006751443,6.123584393,6.245109943,6.356833243,6.356833243,6.356833243
Ar39,5.788276243,5.788276243,5.89692976,5.89692976,5.89692976,5.89692976,5.89692976,5.89692976
Ar36,5.456202243,5.456202243,5.56072876,5.56072876,5.56072876,5.56072876,5.56072876,5.56072876
